"recdate"|"mapunittextkind"|"textcat"|"textsubcat"|"text"|"mukey"|"mutextkey"
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8C"|"8C - LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and friable loamy subsoils; slopes 0 to 8 percent; medium natural fertility; medium to high water holding capacity with good plant-soil-moisture relationship; medium to high production potential."|575621|2701000
"07/25/2002 00:00:00"|"Nontechnical description"|"WSG"|"009"|"2o7 - Soil characteristics do not cause significant management problems. Important commercial tree species include loblolly pine, shortleaf pine, sweetgum, and red oak. These soils are suited for pine and hardwoods, and the site index for loblolly pine and sweetgum is 90. The yield from an unmanaged stand over a 50-year period is approximately 330 board feet (Doyle rule) for loblolly pine, or 210 for sweetgum per acre per year. Native species important to wildlife include red oak, American beautyberry, Alabama supplejack, yaupon, and ash. High value grasses and forbs used by livestock include pinehill bluestem, longleaf uniola, big bluestem, beaked panicum, and little bluestem. Stocking rates depend on canopy density and range from 8-50 acres per animal unit."|575621|2701001
""|"Nontechnical description"|"WSG"|"020"|"3s2 - Sandy texture may cause moderate equipment limitations and seedling mortality. Important commercial tree species include loblolly pine, shortleaf pine, and longleaf pine. These soils are suited for pines, and the site index for loblolly pine is 80. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 230 board feet (Doyle rule) per acre per year. Native species important to wildlife include post oak, dogwood, and yaupon. High value grasses and forbs used by livestock include pinehill bluestem, little bluestem, longleaf uniola, and indiangrass. Stocking rates depend on canopy density and range from 8-40 acres per animal unit."|575622|2701002
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"9A"|"9A - SANDY UPLAND - Deep and very deep, sandy uplands with clayey or loamy subsoils within 40 inches; low natural fertility; low to medium water holding capacity with good plant-soil-moisture relationship; medium to high production potential."|575622|2701003
""|"Nontechnical description"|"WSG"|"027"|"4c8 - Clayey texture may cause moderate equipment limitations and erosion hazard. Important commercial tree species include loblolly pine, shortleaf pine, sweetgum, and water oak. These soils are suited for pine and hardwoods, and the site index for loblolly pine and sweetgum is 70. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 130 board feet (Doyle rule) or 50 for sweetgum per acre per year. Native species important to wildlife include water oak, red oak, post oak, and yaupon. High value grasses and forbs used by livestock include pinehill bluestem, little bluestem, indiangrass, longleaf uniola, and sedge. Stocking rates depend on canopy density and range from 7-80 acres per animal unit."|575623|2701004
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8A"|"8A - TIGHT LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and dense subsoils; slopes 0 to 5 percent; low natural fertility; seasonally wet or droughty; medium water holding capacity but poor to fair plant-soil-moisture relationship; medium to high production potential."|575623|2701005
""|"Nontechnical description"|"WSG"|"014"|"3c2 - Clayey texture may cause moderate equipment limitations and seedling mortality. Erosion hazard increases with slope. Important commercial tree species include loblolly pine and shortleaf pine. These soils are suited for pines, and the site index for loblolly pine is 80. The yield from an unmanaged stand over a 50-year period is approximately 230 board feet (Doyle rule) for loblolly pine, per acre per year. Native species important to wildlife include red oak, American beautyberry, yauupon, and tickclover. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, longleaf uniola, and indiangrass. Stocking rates depend on canopy density and range from 6-40 acres per animal unit."|575624|2701006
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8B"|"8B - SLOPING TIGHT LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and dense subsoils; slopes greater than 5 percent; low natural fertility, seasonally wet or droughty; medium water holding capacity but poor to fair plant-soil-moisture relationship; medium production potential."|575624|2701007
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8B"|"8B - SLOPING TIGHT LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and dense subsoils; slopes greater than 5 percent; low natural fertility, seasonally wet or droughty; medium water holding capacity but poor to fair plant-soil-moisture relationship; medium production potential."|575625|2701008
""|"Nontechnical description"|"WSG"|"028"|"4f2 - Rock fragments cause seedling mortality to increase during dry periods. Erosion hazards increase with slope. Important commercial tree species include loblolly pine, shortleaf pine, and longleaf pine. These soils are suited for pines, and the site index for loblolly pine is 70. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 130 board feet (Doyle rule) per acre per year. Native species important to wildlife include red oak, post oak, American beautyberry, and tickclover. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, longleaf uniola, indiangrass, and sedge. Stocking rates depend on canopy density and range from 6-40 acres per animal unit."|575626|2701009
""|"Nontechnical description"|"WSG"|"040"|"4x3 - Stone and rock fragments cause severe equipment limitation and seedling mortality. Erosion hazards increase with slope. Important commercial tree species include loblolly pine and shortleaf pine. These soils are suited for pines, and the site index for loblolly pine is 70. The yield from an unmanaged stand of loblolly pine is approximately 130 board feet (Doyle rule) per acre per year. Native species important to wildlife include post oak, blackjack oak, American beautyberry, and persimmon. Grasses and forbs important for livestock include pinehill bluestem, big bluestem, indiangrass, and tickclover. Stocking rates depend on canopy density and range from 7-80 acres per animal unit."|575626|2701010
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8B"|"8B - SLOPING TIGHT LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and dense subsoils; slopes greater than 5 percent; low natural fertility, seasonally wet or droughty; medium water holding capacity but poor to fair plant-soil-moisture relationship; medium production potential."|575626|2701011
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"9B"|"9B - DEEP SANDY UPLAND - Deep and very deep, sandy uplands with sandy surfaces greater than 40 inches; low natural fertility; low water holding capacity with good plant-soil-moisture relationship; low to medium production potential."|575627|2701012
""|"Nontechnical description"|"WSG"|"021"|"3s3 - Sandy texture may cause severe equipment limitations, seedling mortality, and plant competition. Important commercial tree species include loblolly pine, shortleaf pine, and longleaf pine. These soils are suited for pine, and the site index for loblolly pine is 80. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 230 board feet (Doyle rule) per acre per year. Native species important to wildlife include post oak, sandjack oak, and American beautyberry. High value grasses and forbs used by livestock include pinehill bluestem, indiangrass, and longleaf uniola. Stocking rates depend on canopy density and range from 8-40 acres per animal unit."|575627|2701013
""|"Nontechnical description"|"WSG"|"018"|"3o1 - No significant management problems are caused by soil characteristics. Important commercial tree species include loblolly pine and shortleaf pine. These soils are suited for pine, and the site index for loblolly pine is 80. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 230 board feet (Doyle rule) per acre per year. Native species important to wildlife include red oak, white oak, American beautyberry, and yaupon. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, longleaf uniola, indiangrass, and beaked panicum. Stocking rates depend on canopy density and range from 8-50 acres per animal unit."|575628|2700994
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8C"|"8C - LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and friable loamy subsoils; slopes 0 to 8 percent; medium natural fertility; medium to high water holding capacity with good plant-soil-moisture relationship; medium to high production potential."|575628|2700995
""|"Nontechnical description"|"WSG"|"021"|"3s3 - Sandy texture may cause severe equipment limitations, seedling mortality, and plant competition. Important commercial tree species include loblolly pine, shortleaf pine, and longleaf pine. These soils are suited for pine, and the site index for loblolly pine is 80. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 230 board feet (Doyle rule) per acre per year. Native species important to wildlife include post oak, sandjack oak, and American beautyberry. High value grasses and forbs used by livestock include pinehill bluestem, indiangrass, and longleaf uniola. Stocking rates depend on canopy density and range from 8-40 acres per animal unit."|575629|2701014
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"9B"|"9B - DEEP SANDY UPLAND - Deep and very deep, sandy uplands with sandy surfaces greater than 40 inches; low natural fertility; low water holding capacity with good plant-soil-moisture relationship; low to medium production potential."|575629|2701015
""|"Nontechnical description"|"WSG"|"027"|"4c8 - Clayey texture may cause moderate equipment limitations and erosion hazard. Important commercial tree species include loblolly pine, shortleaf pine, sweetgum, and water oak. These soils are suited for pine and hardwoods, and the site index for loblolly pine and sweetgum is 70. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 130 board feet (Doyle rule) or 50 for sweetgum per acre per year. Native species important to wildlife include water oak, red oak, post oak, and yaupon. High value grasses and forbs used by livestock include pinehill bluestem, little bluestem, indiangrass, longleaf uniola, and sedge. Stocking rates depend on canopy density and range from 7-80 acres per animal unit."|575632|2701016
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8A"|"8A - TIGHT LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and dense subsoils; slopes 0 to 5 percent; low natural fertility; seasonally wet or droughty; medium water holding capacity but poor to fair plant-soil-moisture relationship; medium to high production potential."|575632|2701017
""|"Nontechnical description"|"WSG"|"027"|"4c8 - Clayey texture may cause moderate equipment limitations and erosion hazard. Important commercial tree species include loblolly pine, shortleaf pine, sweetgum, and water oak. These soils are suited for pine and hardwoods, and the site index for loblolly pine and sweetgum is 70. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 130 board feet (Doyle rule) or 50 for sweetgum per acre per year. Native species important to wildlife include water oak, red oak, post oak, and yaupon. High value grasses and forbs used by livestock include pinehill bluestem, little bluestem, indiangrass, longleaf uniola, and sedge. Stocking rates depend on canopy density and range from 7-80 acres per animal unit."|575633|2701018
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8B"|"8B - SLOPING TIGHT LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and dense subsoils; slopes greater than 5 percent; low natural fertility, seasonally wet or droughty; medium water holding capacity but poor to fair plant-soil-moisture relationship; medium production potential."|575633|2701019
""|"Nontechnical description"|"WSG"|"003"|"1o7 - These soils do not have significant management problems. Important commercial tree species include loblolly pine, sweetgum, red oak, and water oak. These soils are suited for pine or hardwoods, and the site index for loblolly pine is 100. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 430 board feet (Doyle rule), or 310 for sweetgum per acre per year. Native species important to wildlife include red oak, water oak, ash, American beautyberry, yaupon, and white oak. High value grasses and forbs used by livestock include pinehill bluestem, longleaf uniola, beaked panicum, and virginia wildrye. Stocking rates depend on canopy density and range from 8-40 acres per animal unit."|575634|2701020
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"2A"|"2A - LOAMY BOTTOMLAND - Deep and very deep, loamy bottomlands with friable loamy subsoils; may overflow; medium natural fertility; medium to high water holding capacity with good plant- soil-moisture relationship; high production potential."|575634|2701021
""|"Nontechnical description"|"WSG"|"018"|"3o1 - No significant management problems are caused by soil characteristics. Important commercial tree species include loblolly pine and shortleaf pine. These soils are suited for pine, and the site index for loblolly pine is 80. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 230 board feet (Doyle rule) per acre per year. Native species important to wildlife include red oak, white oak, American beautyberry, and yaupon. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, longleaf uniola, indiangrass, and beaked panicum. Stocking rates depend on canopy density and range from 8-50 acres per animal unit."|575637|2701024
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8C"|"8C - LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and friable loamy subsoils; slopes 0 to 8 percent; medium natural fertility; medium to high water holding capacity with good plant-soil-moisture relationship; medium to high production potential."|575637|2701025
